source_id,source_name,source_url,source_owner,source_type,sphere,province,municipality,sector,data_role,update_frequency,access_method,reliability_tier,verification_status,verification_reference,notes
official-matjhabeng,Matjhabeng Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/matjhabeng-local-municipality,Matjhabeng Local Municipality,official_gov,local,Free State,Matjhabeng,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/matjhabeng-local-municipality,"Official local municipality directory page with website and contacts"
official-mantsopa,Mantsopa Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/mantsopa-local-municipality,Mantsopa Local Municipality,official_gov,local,Free State,Mantsopa,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/mantsopa-local-municipality,"Official local municipality directory page with website and contacts"
official-mohokare,Mohokare Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/mohokare-local-municipality,Mohokare Local Municipality,official_gov,local,Free State,Mohokare,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/mohokare-local-municipality,"Official local municipality directory page with website and contacts"
official-moqhaka,Moqhaka Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/moqhaka-local-municipality,Moqhaka Local Municipality,official_gov,local,Free State,Moqhaka,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/moqhaka-local-municipality,"Official local municipality directory page with website and contacts"
official-ngwathe,Ngwathe Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/ngwathe-local-municipality,Ngwathe Local Municipality,official_gov,local,Free State,Ngwathe,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/ngwathe-local-municipality,"Official local municipality directory page with website and contacts"
official-lephalale,Lephalale Local Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/lephalale-local-municipality,Lephalale Local Municipality,official_gov,local,Limpopo,Lephalale,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/lephalale-local-municipality,"Official local municipality directory page with website and contacts"
official-mogalakwena,Mogalakwena Local Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/mogalakwena-local-municipality,Mogalakwena Local Municipality,official_gov,local,Limpopo,Mogalakwena,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/mogalakwena-local-municipality,"Official local municipality directory page with website and contacts"
official-greater-tzaneen,Greater Tzaneen Local Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/greater-tzaneen-local-municipality,Greater Tzaneen Local Municipality,official_gov,local,Limpopo,Greater Tzaneen,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/greater-tzaneen-local-municipality,"Official local municipality directory page with website and contacts"
official-molemole,Molemole Local Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/molemole-local-municipality,Molemole Local Municipality,official_gov,local,Limpopo,Molemole,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/molemole-local-municipality,"Official local municipality directory page with website and contacts"
official-city-of-mbombela,City of Mbombela Local Municipality,https://www.gov.za/about-government/contact-directory/mp-municipalities/city-mbombela-local-municipality,City of Mbombela Local Municipality,official_gov,local,Mpumalanga,City of Mbombela,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/mp-municipalities/city-mbombela-local-municipality,"Official local municipality directory page with website and contacts"
official-emalahleni-mp,Emalahleni Local Municipality (Mpumalanga),https://www.gov.za/about-government/contact-directory/mp-municipalities/emalahleni-local-municipality,Emalahleni Local Municipality,official_gov,local,Mpumalanga,Emalahleni,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/mp-municipalities/emalahleni-local-municipality,"Official local municipality directory page with website and contacts"
official-umgungundlovu,uMgungundlovu District Municipality,https://www.gov.za/about-government/contact-directory/kzn-municipalities/umgungundlovu-district-municipality,uMgungundlovu District Municipality,official_gov,district,KwaZulu-Natal,uMgungundlovu,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/umgungundlovu-district-municipality,"Official district municipality directory page with website and contacts"
official-msunduzi,Msunduzi Local Municipality,https://www.gov.za/about-government/contact-directory/kzn-municipalities/msunduzi-local-municipality,Msunduzi Local Municipality,official_gov,local,KwaZulu-Natal,Msunduzi,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/msunduzi-local-municipality,"Official local municipality directory page with website and contacts"
official-king-cetshwayo,King Cetshwayo District Municipality,https://www.gov.za/about-government/contact-directory/kzn-municipalities/king-cetshwayo-district-municipality,King Cetshwayo District Municipality,official_gov,district,KwaZulu-Natal,King Cetshwayo,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/king-cetshwayo-district-municipality,"Official district municipality directory page with website and contacts"
official-city-of-umhlathuze,City of uMhlathuze Local Municipality,https://www.gov.za/about-government/contact-directory/kzn-municipalities/city-umhlathuze-local-municipality,City of uMhlathuze Local Municipality,official_gov,local,KwaZulu-Natal,City of uMhlathuze,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/city-umhlathuze-local-municipality,"Official local municipality directory page with website and contacts"
official-kgetlengrivier,Kgetlengrivier Local Municipality,https://www.gov.za/about-government/contact-directory/nw-municipalities/kgetlengrivier-local-municipality,Kgetlengrivier Local Municipality,official_gov,local,North West,Kgetlengrivier,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nw-municipalities/kgetlengrivier-local-municipality,"Official local municipality directory page with website and contacts"
official-pixley-ka-seme,Pixley Ka Seme District Municipality,https://www.gov.za/about-government/contact-directory/nc-municipalities/pixley-ka-seme-district-municipality,Pixley Ka Seme District Municipality,official_gov,district,Northern Cape,Pixley Ka Seme,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nc-municipalities/pixley-ka-seme-district-municipality,"Official district municipality directory page with website and contacts"
official-kareeberg,Kareeberg Local Municipality,https://www.gov.za/about-government/contact-directory/nc-municipalities/kareeberg-local-municipality,Kareeberg Local Municipality,official_gov,local,Northern Cape,Kareeberg,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nc-municipalities/kareeberg-local-municipality,"Official local municipality directory page with website and contacts"
official-dikgatlong,Dikgatlong Local Municipality,https://www.gov.za/about-government/contact-directory/nc-municipalities/dikgatlong-local-municipality,Dikgatlong Local Municipality,official_gov,local,Northern Cape,Dikgatlong,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nc-municipalities/dikgatlong-local-municipality,"Official local municipality directory page with website and contacts"
official-stellenbosch,Stellenbosch Local Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/stellenbosch-local-municipality,Stellenbosch Local Municipality,official_gov,local,Western Cape,Stellenbosch,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/stellenbosch-local-municipality,"Official local municipality directory page with website and contacts"
